"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Madden NFL 17","65","Madden NFL 17","32991600","10020900","4571","642","24423","740","224","3.29","Madden NFL 17"
"World of Warships","66","World of Warships","32226780","1767840","3647","85","2980","722","39","18.23","World of Warships"
"The Legend of Zelda: Ocarina of Time","67","The Legend of Zelda: Ocarina of Time","32084280","502380","6042","64","853","719","11","63.86","The Legend of Zelda: Ocarina of Time"
"Tibia","68","Tibia","30238920","1072620","4024","50","1349","678","24","28.19","Tibia"
"The Jackbox Party Pack 3","69","The Jackbox Party Pack 3","29985840","463740","40145","90","1788","672","10","64.66","The Jackbox Party Pack 3"
"Final Fantasy XIV: Heavensward","70","Final Fantasy XIV: Heavensward","29699760","3624060","15156","291","7242","666","81","8.2","Final Fantasy XIV: Heavensward"
"Dark Souls","71","Dark Souls","29597100","1302000","8504","67","3097","663","29","22.73","Dark Souls"
"Summoners War: Sky Arena","72","Summoners War: Sky Arena","28901820","720900","2822","41","803","648","16","40.09","Summoners War: Sky Arena"
"Star Citizen","73","Star Citizen","28255320","561420","39998","49","1487","633","12","50.33","Star Citizen"
"EVE Online","74","EVE Online","27654240","471300","11012","24","763","620","10","58.68","EVE Online"
"Diablo III: Reaper of Souls","75","Diablo III: Reaper of Souls","26959920","2944800","7685","415","6932","604","66","9.16","Diablo III: Reaper of Souls"
"osu!","76","osu!","26191200","3838800","8343","178","13341","587","86","6.82","osu!"
"Shadowverse","77","Shadowverse","25326600","522240","21393","45","1112","568","11","48.5","Shadowverse"
"Outlast","78","Outlast","24447060","1259460","21623","232","7652","548","28","19.41","Outlast"
"Tale of Wuxia","79","Tale of Wuxia","24250740","84360","6357","10","67","543","1","287.47","Tale of Wuxia"
"Casino Games","80","Casino Games","23713680","334860","6198","21","382","531","7","70.82","Casino Games"
"Bloodborne","81","Bloodborne","23460480","1667520","6778","73","4954","526","37","14.07","Bloodborne"
"Mortal Kombat X","82","Mortal Kombat X","22257600","965460","19811","58","4275","499","21","23.05","Mortal Kombat X"
"The Elder Scrolls Online","83","The Elder Scrolls Online","22236300","1233120","8507","80","4275","498","27","18.03","The Elder Scrolls Online"
"Modern Warfare 2","84","Modern Warfare 2","22051620","266160","29917","37","1356","494","5","82.85","Modern Warfare 2"
"Diablo II: Lord of Destruction","85","Diablo II: Lord of Destruction","21452160","510420","3068","31","681","481","11","42.03","Diablo II: Lord of Destruction"
"Fallout 4","86","Fallout 4","20891700","4745520","4027","203","14616","468","106","4.4","Fallout 4"
"Blade and Soul","87","Blade and Soul","20623080","1644060","3889","77","2040","462","36","12.54","Blade and Soul"
"Garry's Mod","88","Garry's Mod","20368920","1291560","8058","83","4997","456","28","15.77","Garry's Mod"
"Doom","89","Doom","19983060","1014480","5307","53","4970","448","22","19.7","Doom"
"Until Dawn","90","Until Dawn","19840620","172380","15767","44","1640","445","3","115.1","Until Dawn"
"Forza Horizon 3","91","Forza Horizon 3","19785720","3055800","4198","248","12159","443","68","6.47","Forza Horizon 3"
"Dead Space","92","Dead Space","19105800","396240","9785","54","1349","428","8","48.22","Dead Space"
"The Elder Scrolls: Legends","93","The Elder Scrolls: Legends","18935400","396180","13392","23","751","424","8","47.79","The Elder Scrolls: Legends"
"World of Final Fantasy","94","World of Final Fantasy","18915780","1253940","4220","240","2924","424","28","15.09","World of Final Fantasy"
"Board Games","95","Board Games","18698460","75840","10532","12","165","419","1","246.55","Board Games"
"M.U.G.E.N","96","M.U.G.E.N","17645040","107760","691","6","56","395","2","163.74","M.U.G.E.N"
"Dark Souls II","97","Dark Souls II","17580300","201000","4912","20","614","394","4","87.46","Dark Souls II"
"The Last of Us","98","The Last of Us","17460900","1589460","9486","93","5155","391","35","10.99","The Last of Us"
"Miscreated","99","Miscreated","17339760","629700","27105","49","1472","388","14","27.54","Miscreated"
"Dragon Quest Builders","100","Dragon Quest Builders","17334780","1098420","14812","109","2414","388","24","15.78","Dragon Quest Builders"
