"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Slay the Spire","66","Slay the Spire","69463320","1067940","12648","56","3529","1558","23","65.04","Slay the Spire"
"Super Smash Bros. for Wii U","67","Super Smash Bros. for Wii U","69301980","1084200","47374","188","2354","1554","24","63.92","Super Smash Bros. for Wii U"
"Call of Duty: Black Ops III","68","Call of Duty: Black Ops III","67743420","11451600","8978","494","52365","1519","256","5.92","Call of Duty: Black Ops III"
"Two Point Hospital","69","Two Point Hospital","67442340","748500","46234","578","3262","1512","16","90.1","Two Point Hospital"
"Sea of Thieves","70","Sea of Thieves","66427020","5143200","28368","529","11118","1490","115","12.92","Sea of Thieves"
"Gwent: The Witcher Card Game","71","Gwent: The Witcher Card Game","64213620","1011180","33225","51","1497","1440","22","63.5","Gwent: The Witcher Card Game"
"StarCraft","72","StarCraft","63637980","723840","56781","31","1164","1427","16","87.92","StarCraft"
"osu!","73","osu!","60273000","8048700","7207","289","29110","1352","180","7.49","osu!"
"For Honor","74","For Honor","59660280","4776960","25956","312","18026","1338","107","12.49","For Honor"
"Dark Souls III","75","Dark Souls III","58784280","4238280","10996","186","11870","1318","95","13.87","Dark Souls III"
"Quake Champions","76","Quake Champions","58204500","2390820","14662","136","7029","1305","53","24.34","Quake Champions"
"Rend","77","Rend","57494700","1219980","28195","150","1908","1289","27","47.13","Rend"
"Super Mario Maker","78","Super Mario Maker","55560960","671460","4968","36","749","1246","15","82.75","Super Mario Maker"
"Bloodborne","79","Bloodborne","55433400","2066700","15424","85","6178","1243","46","26.82","Bloodborne"
"The Sims 4","80","The Sims 4","55254540","2361780","11416","101","7994","1239","52","23.4","The Sims 4"
"The Legend of Zelda: Ocarina of Time","81","The Legend of Zelda: Ocarina of Time","55016220","1573260","8829","124","2051","1234","35","34.97","The Legend of Zelda: Ocarina of Time"
"Fate/Grand Order","82","Fate/Grand Order","54271560","878520","19501","67","1510","1217","19","61.78","Fate/Grand Order"
"Yakuza 0","83","Yakuza 0","53542980","1968060","20115","203","3790","1201","44","27.21","Yakuza 0"
"MapleStory","84","MapleStory","53433060","2573640","21223","104","3309","1198","57","20.76","MapleStory"
"Death's Gambit","85","Death's Gambit","52577160","973020","36456","202","2962","1179","21","54.04","Death's Gambit"
"VRChat","86","VRChat","51499680","3584760","6735","193","5277","1155","80","14.37","VRChat"
"The Elder Scrolls V: Skyrim","87","The Elder Scrolls V: Skyrim","49257960","4154580","11072","154","10780","1104","93","11.86","The Elder Scrolls V: Skyrim"
"Cyberpunk 2077","88","Cyberpunk 2077","47848380","46320","453069","226","456","1073","1","1033","Cyberpunk 2077"
"Arma 3","89","Arma 3","47430960","3641040","24231","221","6632","1063","81","13.03","Arma 3"
"FINAL FANTASY XIV Online","90","FINAL FANTASY XIV Online","47095500","5312160","7477","433","8097","1056","119","8.87","FINAL FANTASY XIV Online"
"Diablo III: Reaper of Souls","91","Diablo III: Reaper of Souls","46161000","3475200","7816","153","8412","1035","77","13.28","Diablo III: Reaper of Souls"
"The Witcher 3: Wild Hunt","92","The Witcher 3: Wild Hunt","46100640","2939100","15143","143","7822","1034","65","15.69","The Witcher 3: Wild Hunt"
"Chess","93","Chess","45375840","768180","8693","50","1007","1017","17","59.07","Chess"
"Twitch Plays","94","Twitch Plays","45340380","1677840","13258","61","1560","1017","37","27.02","Twitch Plays"
"Age of Empires II","95","Age of Empires II","45033480","780240","18771","39","1601","1010","17","57.72","Age of Empires II"
"Darkest Dungeon","96","Darkest Dungeon","44885220","1266540","21226","71","3173","1006","28","35.44","Darkest Dungeon"
"Dark Souls","97","Dark Souls","44550420","1884120","7542","100","4486","999","42","23.65","Dark Souls"
"World of Warships","98","World of Warships","43723980","2774880","3514","128","4371","980","62","15.76","World of Warships"
"Yakuza 3","99","Yakuza 3","43422720","225060","14737","50","201","974","5","192.94","Yakuza 3"
"Total War: Warhammer II","100","Total War: Warhammer II","43401660","658260","14093","31","1150","973","14","65.93","Total War: Warhammer II"
