,year,quarter,month,month_number,date,rank,game,watch_time,stream_time,peak_viewers,peak_channels,streamers,average_viewers,average_channels,average_viewer_ratio,,
208,2016,Q1,March,3,3/1/16,9,ungespielt,268791240,18945,44234,14187,956174,110496,5716409,TRUE,FALSE,German
209,2016,Q1,March,3,3/1/16,10,DotaMajorRU,229480965,3885,151408,59067,181728,16765,3317389,TRUE,FALSE,Russian
210,2016,Q1,March,3,3/1/16,11,IzakOOO,205937730,8565,106397,24043,1442262,49908,4225942,TRUE,FALSE,Polish
211,2016,Q1,March,3,3/1/16,12,Nightblue3,191771280,10245,35489,18718,2639859,38333,3728947,TRUE,FALSE,English
212,2016,Q1,March,3,3/1/16,13,nl_Kripp,182380500,9855,31431,18505,1374539,17344,2029906,TRUE,FALSE,English
213,2016,Q1,March,3,3/1/16,14,Trick2g,175641045,18855,27238,9314,1471048,29003,2723683,TRUE,TRUE,English
214,2016,Q1,March,3,3/1/16,15,RocketBeansTV,167743005,44610,33177,3759,412202,8110,2723885,TRUE,FALSE,German
215,2016,Q1,March,3,3/1/16,16,Dyrus,165575235,13530,31844,12237,1473735,34586,3372446,TRUE,TRUE,English
216,2016,Q1,March,3,3/1/16,17,sneakylol,161873460,8940,31585,18106,1637232,28209,2433896,TRUE,FALSE,English
217,2016,Q1,March,3,3/1/16,18,Ultra,157398645,1860,134869,84622,186831,72133,6698466,TRUE,FALSE,
218,2016,Q1,March,3,3/1/16,19,AtheneLIVE,155199885,22740,17092,6824,210140,5142,816132,TRUE,FALSE,English
219,2016,Q1,March,3,3/1/16,20,Voyboy,149060670,14655,20316,10170,1228127,21368,2222475,TRUE,FALSE,English
220,2016,Q1,March,3,3/1/16,21,PlayHearthstone,146857635,4455,152770,32964,828604,34262,4712753,TRUE,FALSE,English
221,2016,Q1,March,3,3/1/16,22,StarLadder5,144956040,6105,106135,23743,1029203,46808,3685249,TRUE,FALSE,Russian
222,2016,Q1,March,3,3/1/16,23,sodapoppin,141400365,8730,34057,16196,2731773,18631,2671817,TRUE,TRUE,English
223,2016,Q1,March,3,3/1/16,24,CohhCarnage,133780635,15180,22678,8812,1243901,26358,1876887,TRUE,FALSE,English
224,2016,Q1,March,3,3/1/16,25,itsjaylife,122614890,42480,6263,2885,255594,22006,1131585,TRUE,FALSE,Russian
225,2016,Q1,March,3,3/1/16,26,forsen,120543885,10125,21965,11905,1292058,16117,2022856,TRUE,TRUE,English
226,2016,Q1,March,3,3/1/16,27,OgamingLoL,119620545,43020,35449,2780,506273,6342,2166980,TRUE,FALSE,French
227,2016,Q1,March,3,3/1/16,28,StreamerHouse,108799635,44610,7046,2438,630281,32744,1006519,TRUE,FALSE,English
228,2016,Q1,March,3,3/1/16,29,CapcomFighters,107996700,4335,80846,24912,340498,18658,3349923,TRUE,FALSE,English
229,2016,Q1,March,3,3/1/16,30,GarenaVietnam,103766085,21480,40867,4830,7549,2854,5618978,TRUE,FALSE,Other
230,2016,Q1,March,3,3/1/16,31,DreadzTV,102546555,5400,33381,18989,664874,14544,2292725,TRUE,TRUE,Russian
231,2016,Q1,March,3,3/1/16,32,MilleniumTVHS,99637410,33765,18794,2950,94099,5595,1973764,TRUE,FALSE,French
232,2016,Q1,March,3,3/1/16,33,esl_RuHub_CSGO,98055690,9570,53144,10245,317626,25503,2898591,TRUE,FALSE,Russian
233,2016,Q1,March,3,3/1/16,34,ruhub_dotapit,97709940,1665,158295,58684,58867,18484,2069489,TRUE,FALSE,Russian
234,2016,Q1,March,3,3/1/16,35,Meteos,96377730,11835,27358,8143,485366,14356,1550790,TRUE,FALSE,English
235,2016,Q1,March,3,3/1/16,36,Call of Duty (callofduty),95622330,11190,57594,8544,963655,49167,2380454,TRUE,TRUE,English
236,2016,Q1,March,3,3/1/16,37,ESL_SC2,94673820,44460,59697,2128,290584,47699,3022742,TRUE,FALSE,English
237,2016,Q1,March,3,3/1/16,38,CarTmaNzbs,93470085,13095,16080,7137,355266,14434,1856633,TRUE,FALSE,Russian
238,2016,Q1,March,3,3/1/16,39,亞洲統神 (asiagodtonegg3be0),90479430,11955,10928,7567,494643,7846,2842991,TRUE,FALSE,Chinese
239,2016,Q1,March,3,3/1/16,40,GRONKH,87720825,5265,34625,16660,1186695,25894,1800900,TRUE,FALSE,German
240,2016,Q1,March,3,3/1/16,41,Gosu,84779085,10125,20302,8372,1718638,26240,2352608,TRUE,FALSE,English
241,2016,Q1,March,3,3/1/16,42,OGADotaPIT,80982600,1665,104609,48638,137864,7344,1844086,TRUE,FALSE,English
242,2016,Q1,March,3,3/1/16,43,HearthstoneFR,79076160,44400,5819,1780,161432,3262,2122285,TRUE,FALSE,French
243,2016,Q1,March,3,3/1/16,44,Arteezy,77602350,5295,25976,14655,581669,13647,1869710,TRUE,TRUE,English
244,2016,Q1,March,3,3/1/16,45,DansGaming,76691955,16005,11433,4791,813017,8770,1017732,TRUE,FALSE,English
245,2016,Q1,March,3,3/1/16,46,JoshOG,76368585,16200,9819,4713,1750433,28830,1075549,TRUE,FALSE,English
246,2016,Q1,March,3,3/1/16,47,Amaz,74186985,5205,31128,14252,922036,9318,1491940,TRUE,FALSE,English
247,2016,Q1,March,3,3/1/16,48,SummonersInnLive,74085900,11280,22526,6567,499626,7846,1883750,TRUE,FALSE,German
248,2016,Q1,March,3,3/1/16,49,shroud,73538595,7590,22886,9688,7069584,41458,1743663,TRUE,FALSE,English
249,2016,Q1,March,3,3/1/16,50,P4wnyhof,73198410,12435,13385,5886,485279,13515,1400437,TRUE,FALSE,English
250,2016,Q1,March,3,3/1/16,51,KingGothalion,72822030,14250,15727,5109,1015521,24813,1005054,TRUE,FALSE,English
251,2016,Q1,March,3,3/1/16,52,Valkrin,72668340,9240,19216,7864,185735,14455,1165452,TRUE,FALSE,English
252,2016,Q1,March,3,3/1/16,53,OuterHeaven,65091225,44280,2466,1469,137367,3035,370318,TRUE,TRUE,English
253,2016,Q1,March,3,3/1/16,54,TimTheTatman,63423930,11895,11734,5331,4942208,25891,1148822,TRUE,TRUE,English
254,2016,Q1,March,3,3/1/16,55,OGN,63078135,43935,54843,1435,75404,6366,878341,FALSE,FALSE,Korean
255,2016,Q1,March,3,3/1/16,56,TrumpSC,61919280,7080,25269,8745,819735,7712,1212947,TRUE,FALSE,English
256,2016,Q1,March,3,3/1/16,57,IWillDominate,60353730,19350,18022,3118,782905,34272,1207057,TRUE,FALSE,English
257,2016,Q1,March,3,3/1/16,58,Kolento,59200680,5505,29092,10753,513334,12586,1240830,TRUE,FALSE,English
258,2016,Q1,March,3,3/1/16,59,AdmiralBulldog,58838205,4785,20578,12295,680549,10329,1242009,TRUE,TRUE,English
259,2016,Q1,March,3,3/1/16,60,HoneyMad,57844335,6285,14638,9202,523381,18354,1258895,TRUE,TRUE,Russian
260,2016,Q1,March,3,3/1/16,61,reynad27,57243825,5655,21976,10122,510874,10254,890578,TRUE,TRUE,English
261,2016,Q1,March,3,3/1/16,62,Monstercat,56296020,44610,3906,1261,783564,23982,645307,TRUE,FALSE,English
262,2016,Q1,March,3,3/1/16,63,GoldGlove,56113080,9195,12283,6102,1425717,13929,584775,TRUE,FALSE,English
263,2016,Q1,March,3,3/1/16,64,B0aty,55749840,11865,11749,4698,515362,6550,955500,TRUE,TRUE,English
264,2016,Q1,March,3,3/1/16,65,OGACounterPIT,54835950,1785,78220,30719,70359,16660,1707105,TRUE,FALSE,English
265,2016,Q1,March,3,3/1/16,66,Dota2RuHub,53900130,6390,57384,8434,736919,6943,2146294,TRUE,FALSE,Russian
